name,group
GSM4581220,Adipose
GSM4581222,Adipose
GSM7427278,Adrenal_Gland
GSM7427318,Adrenal_Gland
GSM7427336,Adrenal_Gland
GSM7427368,Adrenal_Gland
GSM7427385,Adrenal_Gland
GSM7427476,Adrenal_Gland
GSM7427560,Adrenal_Gland
GSM7427580,Adrenal_Gland
GSM7427582,Adrenal_Gland
GSM7427601,Adrenal_Gland
GSM7427624,Adrenal_Gland
GSM7427629,Adrenal_Gland
GSM7427667,Adrenal_Gland
GSM1614726,B-cells
GSM1614734,B-cells
GSM1614735,B-cells
GSM1614750,B-cells
GSM3323742,B-cells
GSM3323743,B-cells
GSM3323765,B-cells
GSM3323767,B-cells
GSM3323781,B-cells
GSM3323790,B-cells
GSM3323795,B-cells
GSM3323802,B-cells
GSM812428,B-cells
GSM812430,B-cells
GSM812441,B-cells
GSM7427264,Blood_Vessel
GSM7427266,Blood_Vessel
GSM7427280,Blood_Vessel
GSM7427283,Blood_Vessel
GSM7427287,Blood_Vessel
GSM7427315,Blood_Vessel
GSM7427330,Blood_Vessel
GSM7427351,Blood_Vessel
GSM7427354,Blood_Vessel
GSM7427374,Blood_Vessel
GSM7427404,Blood_Vessel
GSM7427426,Blood_Vessel
GSM7427449,Blood_Vessel
GSM7427451,Blood_Vessel
GSM3150565,Breast
GSM3150566,Breast
GSM3150567,Breast
GSM3150568,Breast
GSM3150570,Breast
GSM3150571,Breast
GSM3150572,Breast
GSM3150573,Breast
GSM3150574,Breast
GSM3150575,Breast
GSM3150576,Breast
GSM3150579,Breast
GSM3150580,Breast
GSM3150581,Breast
GSM5008495,Fibroblast
GSM5008499,Fibroblast
GSM5008500,Fibroblast
GSM3133009,iPSCs
GSM3133010,iPSCs
GSM3133012,iPSCs
GSM3133013,iPSCs
GSM3133014,iPSCs
GSM3133015,iPSCs
GSM3133016,iPSCs
GSM3133017,iPSCs
GSM3133018,iPSCs
GSM7427260,Kidney
GSM7427326,Kidney
GSM7427327,Kidney
GSM7427360,Kidney
GSM7427411,Kidney
GSM7427417,Kidney
GSM7427447,Kidney
GSM7427454,Kidney
GSM7427622,Kidney
GSM7427652,Kidney
GSM7427657,Kidney
GSM7427665,Kidney
GSM2819634,Liver
GSM2819638,Liver
GSM2819639,Liver
GSM2819644,Liver
GSM2819646,Liver
GSM2819654,Liver
GSM2819655,Liver
GSM2819656,Liver
GSM2819657,Liver
GSM2819662,Liver
GSM2819665,Liver
GSM2819672,Liver
GSM2819674,Liver
GSM2819676,Liver
GSM3138492,Monocyte
GSM3138513,Monocyte
GSM7427285,Muscle
GSM7427311,Muscle
GSM7427331,Muscle
GSM7427377,Muscle
GSM7427405,Muscle
GSM7427425,Muscle
GSM7427431,Muscle
GSM7427439,Muscle
GSM7427613,Muscle
GSM7427295,Nerve
GSM7427298,Nerve
GSM7427324,Nerve
GSM7427345,Nerve
GSM7427356,Nerve
GSM7427384,Nerve
GSM7427389,Nerve
GSM7427393,Nerve
GSM7427427,Nerve
GSM7427464,Nerve
GSM7427472,Nerve
GSM7427614,Nerve
GSM1429640,Neutrophil
GSM1429641,Neutrophil
GSM1429643,Neutrophil
GSM1429644,Neutrophil
GSM1429645,Neutrophil
GSM1429646,Neutrophil
GSM1429647,Neutrophil
GSM1429648,Neutrophil
GSM1429649,Neutrophil
GSM1954545,Neutrophil
GSM5549063,NK
GSM5549064,NK
GSM5549065,NK
GSM5549066,NK
GSM5549067,NK
24T055054,Ovary
24T055664,Ovary
24T058076,Ovary
24T059184,Ovary
24T059305,Ovary
24T059343,Ovary
24T059380,Ovary
24T059389,Ovary
24T059402,Ovary
24T059413,Ovary
24T059418,Ovary
24T059419,Ovary
24T059421,Ovary
24T059425,Ovary
24T059440,Ovary
24T059441,Ovary
24T059500,Ovary
24T059501,Ovary
24T059507,Ovary
GSM7427273,Ovary
GSM7427276,Ovary
GSM7427319,Ovary
GSM7427329,Ovary
GSM7427349,Ovary
GSM7427380,Ovary
GSM7427444,Ovary
GSM7427564,Ovary
GSM7427573,Ovary
GSM7427630,Ovary
GSM7427631,Ovary
GSM7427640,Ovary
GSM7427650,Ovary
GSM7427672,Ovary
GSM7427694,Ovary
GSM7427255,Pancreas
GSM7427424,Pancreas
GSM7427457,Pancreas
GSM7427562,Pancreas
GSM7427570,Pancreas
GSM7427575,Pancreas
GSM7427576,Pancreas
GSM7427581,Pancreas
GSM7427595,Pancreas
GSM7427635,Pancreas
GSM7427661,Pancreas
GSM7427664,Pancreas
GSM7427679,Pancreas
GSM7427686,Pancreas
GSM7427282,Pituitary
GSM7427302,Pituitary
GSM7427303,Pituitary
GSM7427364,Pituitary
GSM7427395,Pituitary
GSM7427406,Pituitary
GSM7427461,Pituitary
GSM7427475,Pituitary
GSM7427628,Pituitary
GSM7427643,Pituitary
GSM7427654,Pituitary
GSM7427659,Pituitary
GSM7427663,Pituitary
GSM7427668,Pituitary
GSM7427242,Skin
GSM7427249,Skin
GSM7427258,Skin
GSM7427333,Skin
GSM7427361,Skin
GSM7427379,Skin
GSM7427478,Skin
GSM7427572,Skin
GSM7427577,Skin
GSM7427588,Skin
GSM7427593,Skin
GSM7427617,Skin
GSM7427618,Skin
GSM7427685,Skin
GSM1866004,Sperm
GSM1866006,Sperm
GSM1866007,Sperm
GSM1866021,Sperm
GSM1866022,Sperm
GSM1866025,Sperm
GSM1866026,Sperm
GSM1866028,Sperm
GSM1866029,Sperm
GSM1866031,Sperm
GSM1866032,Sperm
GSM1866035,Sperm
GSM1866038,Sperm
GSM1866045,Sperm
20A041696,Stom
20A041697,Stom
20A041698,Stom
20A041699,Stom
20A041701,Stom
GSM4029550,T-cells
GSM4029553,T-cells
GSM4029557,T-cells
GSM4029573,T-cells
GSM4029574,T-cells
GSM4029576,T-cells
GSM4029581,T-cells
GSM4029584,T-cells
GSM4029594,T-cells
GSM4761192,T-cells
GSM5684279,T-cells
GSM5684301,T-cells
GSM5684303,T-cells
GSM7427256,Testis
GSM7427289,Testis
GSM7427301,Testis
GSM7427394,Testis
GSM7427474,Testis
GSM7427556,Testis
GSM7427566,Testis
GSM7427569,Testis
GSM7427586,Testis
GSM7427599,Testis
GSM7427620,Testis
GSM7427625,Testis
GSM7427634,Testis
GSM7427690,Testis
GSM7427696,Testis
GSM7427482,Thyroid
GSM7427554,Thyroid
GSM7427561,Thyroid
GSM7427578,Thyroid
GSM7427587,Thyroid
GSM7427598,Thyroid
GSM7427647,Thyroid
GSM7427658,Thyroid
GSM7427692,Thyroid
GSM7427698,Thyroid
GSM2948423,Trophoblasts
GSM2948424,Trophoblasts
GSM2948425,Trophoblasts
GSM2948426,Trophoblasts
GSM2948427,Trophoblasts
GSM2948428,Trophoblasts
GSM2948429,Trophoblasts
GSM2948430,Trophoblasts
GSM2948431,Trophoblasts
GSM2948432,Trophoblasts
GSM2948433,Trophoblasts
GSM7427365,Uterus
GSM7427366,Uterus
GSM7427480,Uterus
GSM7427558,Uterus
GSM7427565,Uterus
GSM7427567,Uterus
GSM7427574,Uterus
GSM7427591,Uterus
GSM7427646,Uterus
GSM7427651,Uterus
GSM7427682,Uterus
