name,group
GSM5652176,Adipocyte
GSM5652177,Adipocyte
GSM5652178,Adipocyte
GSM5652342,Bladder-Ep
GSM5652343,Bladder-Ep
GSM5652344,Bladder-Ep
GSM5652346,Bladder-Ep
GSM5652316,Blood-B
GSM5652317,Blood-B
GSM5652318,Blood-B
GSM5652319,Blood-B
GSM5652320,Blood-B
GSM5652313,Blood-Granulocytes
GSM5652314,Blood-Granulocytes
GSM5652315,Blood-Granulocytes
GSM3612206,Blood-Granulocytes
GSM3612207,Blood-Granulocytes
GSM5652302,Blood-Mono+Macro
GSM5652303,Blood-Mono+Macro
GSM5652304,Blood-Mono+Macro
GSM5652305,Blood-Mono+Macro
GSM5652306,Blood-Mono+Macro
GSM5652307,Blood-Mono+Macro
GSM5652308,Blood-Mono+Macro
GSM5652309,Blood-Mono+Macro
GSM5652310,Blood-Mono+Macro
GSM5652311,Blood-Mono+Macro
GSM5652312,Blood-Mono+Macro
GSM5652299,Blood-NK
GSM5652300,Blood-NK
GSM5652301,Blood-NK
GSM2877162,Brain-Neuron
GSM2877166,Brain-Neuron
GSM2877167,Brain-Neuron
GSM5652224,Brain-Neuron
GSM5652225,Brain-Neuron
GSM5652226,Brain-Neuron
GSM5652227,Brain-Neuron
GSM5652228,Brain-Neuron
GSM5652229,Brain-Neuron
GSM5652230,Brain-Neuron
GSM5652232,Brain-Neuron
GSM5652351,Breast-Basal-Ep
GSM5652352,Breast-Basal-Ep
GSM5652353,Breast-Basal-Ep
GSM5652347,Breast-Luminal-Ep
GSM5652348,Breast-Luminal-Ep
GSM5652349,Breast-Luminal-Ep
GSM5652372,Colon-Ep
GSM5652374,Colon-Ep
GSM5652375,Colon-Ep
GSM5652370,Colon-Ep
GSM5652371,Colon-Ep
GSM5652373,Colon-Ep
GSM5652376,Colon-Ep
GSM5652377,Colon-Ep
GSM5652179,Endothelium
GSM5652180,Endothelium
GSM5652184,Endothelium
GSM5652185,Endothelium
GSM5652187,Endothelium
GSM5652188,Endothelium
GSM5652189,Endothelium
GSM5652190,Endothelium
GSM5652191,Endothelium
GSM5652192,Endothelium
GSM5652193,Endothelium
GSM5652194,Endothelium
GSM5652195,Endothelium
GSM5652196,Endothelium
GSM5652197,Endothelium
GSM5652181,Endothelium
GSM5652182,Endothelium
GSM5652183,Endothelium
GSM5652274,Eryth-prog
GSM5652275,Eryth-prog
GSM5652276,Eryth-prog
GSM5652267,Fallopian-Ep
GSM5652268,Fallopian-Ep
GSM5652269,Fallopian-Ep
GSM5652365,Gastric-Ep
GSM5652366,Gastric-Ep
GSM5652367,Gastric-Ep
GSM5652362,Gastric-Ep
GSM5652363,Gastric-Ep
GSM5652364,Gastric-Ep
GSM5652368,Gastric-Ep
GSM5652369,Gastric-Ep
