name,group,actual
wgbs_mixPat10_10_1,Gastric-Ep,0.9
wgbs_mixPat10_10_2,Gastric-Ep,0.9
wgbs_mixPat10_10_3,Gastric-Ep,0.9
wgbs_mixPat10_11_1,Gastric-Ep,1
wgbs_mixPat10_11_2,Gastric-Ep,1
wgbs_mixPat10_11_3,Gastric-Ep,1
wgbs_mixPat10_1_1,Gastric-Ep,0
wgbs_mixPat10_1_2,Gastric-Ep,0
wgbs_mixPat10_1_3,Gastric-Ep,0
wgbs_mixPat10_2_1,Gastric-Ep,0.1
wgbs_mixPat10_2_2,Gastric-Ep,0.1
wgbs_mixPat10_2_3,Gastric-Ep,0.1
wgbs_mixPat10_3_1,Gastric-Ep,0.2
wgbs_mixPat10_3_2,Gastric-Ep,0.2
wgbs_mixPat10_3_3,Gastric-Ep,0.2
wgbs_mixPat10_4_1,Gastric-Ep,0.3
wgbs_mixPat10_4_2,Gastric-Ep,0.3
wgbs_mixPat10_4_3,Gastric-Ep,0.3
wgbs_mixPat10_5_1,Gastric-Ep,0.4
wgbs_mixPat10_5_2,Gastric-Ep,0.4
wgbs_mixPat10_5_3,Gastric-Ep,0.4
wgbs_mixPat10_6_1,Gastric-Ep,0.5
wgbs_mixPat10_6_2,Gastric-Ep,0.5
wgbs_mixPat10_6_3,Gastric-Ep,0.5
wgbs_mixPat10_7_1,Gastric-Ep,0.6
wgbs_mixPat10_7_2,Gastric-Ep,0.6
wgbs_mixPat10_7_3,Gastric-Ep,0.6
wgbs_mixPat10_8_1,Gastric-Ep,0.7
wgbs_mixPat10_8_2,Gastric-Ep,0.7
wgbs_mixPat10_8_3,Gastric-Ep,0.7
wgbs_mixPat10_9_1,Gastric-Ep,0.8
wgbs_mixPat10_9_2,Gastric-Ep,0.8
wgbs_mixPat10_9_3,Gastric-Ep,0.8
wgbs_mixPat11_10_1,Head-Neck-Ep,0.9
wgbs_mixPat11_10_2,Head-Neck-Ep,0.9
wgbs_mixPat11_10_3,Head-Neck-Ep,0.9
wgbs_mixPat11_11_1,Head-Neck-Ep,1
wgbs_mixPat11_11_2,Head-Neck-Ep,1
wgbs_mixPat11_11_3,Head-Neck-Ep,1
wgbs_mixPat11_1_1,Head-Neck-Ep,0
wgbs_mixPat11_1_2,Head-Neck-Ep,0
wgbs_mixPat11_1_3,Head-Neck-Ep,0
wgbs_mixPat11_2_1,Head-Neck-Ep,0.1
wgbs_mixPat11_2_2,Head-Neck-Ep,0.1
wgbs_mixPat11_2_3,Head-Neck-Ep,0.1
wgbs_mixPat11_3_1,Head-Neck-Ep,0.2
wgbs_mixPat11_3_2,Head-Neck-Ep,0.2
wgbs_mixPat11_3_3,Head-Neck-Ep,0.2
wgbs_mixPat11_4_1,Head-Neck-Ep,0.3
wgbs_mixPat11_4_2,Head-Neck-Ep,0.3
wgbs_mixPat11_4_3,Head-Neck-Ep,0.3
wgbs_mixPat11_5_1,Head-Neck-Ep,0.4
wgbs_mixPat11_5_2,Head-Neck-Ep,0.4
wgbs_mixPat11_5_3,Head-Neck-Ep,0.4
wgbs_mixPat11_6_1,Head-Neck-Ep,0.5
wgbs_mixPat11_6_2,Head-Neck-Ep,0.5
wgbs_mixPat11_6_3,Head-Neck-Ep,0.5
wgbs_mixPat11_7_1,Head-Neck-Ep,0.6
wgbs_mixPat11_7_2,Head-Neck-Ep,0.6
wgbs_mixPat11_7_3,Head-Neck-Ep,0.6
wgbs_mixPat11_8_1,Head-Neck-Ep,0.7
wgbs_mixPat11_8_2,Head-Neck-Ep,0.7
wgbs_mixPat11_8_3,Head-Neck-Ep,0.7
wgbs_mixPat11_9_1,Head-Neck-Ep,0.8
wgbs_mixPat11_9_2,Head-Neck-Ep,0.8
wgbs_mixPat11_9_3,Head-Neck-Ep,0.8
wgbs_mixPat12_10_1,Heart-Cardio,0.9
wgbs_mixPat12_10_2,Heart-Cardio,0.9
wgbs_mixPat12_10_3,Heart-Cardio,0.9
wgbs_mixPat12_11_1,Heart-Cardio,1
wgbs_mixPat12_11_2,Heart-Cardio,1
wgbs_mixPat12_11_3,Heart-Cardio,1
wgbs_mixPat12_1_1,Heart-Cardio,0
wgbs_mixPat12_1_2,Heart-Cardio,0
wgbs_mixPat12_1_3,Heart-Cardio,0
wgbs_mixPat12_2_1,Heart-Cardio,0.1
wgbs_mixPat12_2_2,Heart-Cardio,0.1
wgbs_mixPat12_2_3,Heart-Cardio,0.1
wgbs_mixPat12_3_1,Heart-Cardio,0.2
wgbs_mixPat12_3_2,Heart-Cardio,0.2
wgbs_mixPat12_3_3,Heart-Cardio,0.2
wgbs_mixPat12_4_1,Heart-Cardio,0.3
wgbs_mixPat12_4_2,Heart-Cardio,0.3
wgbs_mixPat12_4_3,Heart-Cardio,0.3
wgbs_mixPat12_5_1,Heart-Cardio,0.4
wgbs_mixPat12_5_2,Heart-Cardio,0.4
wgbs_mixPat12_5_3,Heart-Cardio,0.4
wgbs_mixPat12_6_1,Heart-Cardio,0.5
wgbs_mixPat12_6_2,Heart-Cardio,0.5
wgbs_mixPat12_6_3,Heart-Cardio,0.5
wgbs_mixPat12_7_1,Heart-Cardio,0.6
wgbs_mixPat12_7_2,Heart-Cardio,0.6
wgbs_mixPat12_7_3,Heart-Cardio,0.6
wgbs_mixPat12_8_1,Heart-Cardio,0.7
wgbs_mixPat12_8_2,Heart-Cardio,0.7
wgbs_mixPat12_8_3,Heart-Cardio,0.7
wgbs_mixPat12_9_1,Heart-Cardio,0.8
wgbs_mixPat12_9_2,Heart-Cardio,0.8
wgbs_mixPat12_9_3,Heart-Cardio,0.8
wgbs_mixPat13_10_1,Kidney-Ep,0.9
wgbs_mixPat13_10_2,Kidney-Ep,0.9
wgbs_mixPat13_10_3,Kidney-Ep,0.9
wgbs_mixPat13_11_1,Kidney-Ep,1
wgbs_mixPat13_11_2,Kidney-Ep,1
wgbs_mixPat13_11_3,Kidney-Ep,1
wgbs_mixPat13_1_1,Kidney-Ep,0
wgbs_mixPat13_1_2,Kidney-Ep,0
wgbs_mixPat13_1_3,Kidney-Ep,0
wgbs_mixPat13_2_1,Kidney-Ep,0.1
wgbs_mixPat13_2_2,Kidney-Ep,0.1
wgbs_mixPat13_2_3,Kidney-Ep,0.1
wgbs_mixPat13_3_1,Kidney-Ep,0.2
wgbs_mixPat13_3_2,Kidney-Ep,0.2
wgbs_mixPat13_3_3,Kidney-Ep,0.2
wgbs_mixPat13_4_1,Kidney-Ep,0.3
